2016-12-25 15:30:11 INFO  TxtFileReader:20 - File src/main/resources/data.txt successfully read.
2016-12-25 15:30:11 INFO  Client:27 - Client David visit the Restaurant.
2016-12-25 15:30:11 INFO  Client:27 - Client Dimasik^^ visit the Restaurant.
2016-12-25 15:30:11 INFO  Client:68 - Client Dimasik^^ had chosen CashDesk#2
2016-12-25 15:30:11 INFO  Client:31 - Client Dimasik^^ made pre order.
2016-12-25 15:30:11 INFO  CashDesk:31 - Client Dimasik^^ is served
2016-12-25 15:30:11 INFO  Client:68 - Client David had chosen CashDesk#2
2016-12-25 15:30:11 INFO  Client:31 - Client David made pre order.
2016-12-25 15:30:11 INFO  CashDesk:31 - Client David is served
2016-12-25 15:30:11 INFO  Client:27 - Client Marlin visit the Restaurant.
2016-12-25 15:30:11 INFO  Client:68 - Client Marlin had chosen CashDesk#2
2016-12-25 15:30:11 INFO  Client:44 - Client Marlin Stay in queue
2016-12-25 15:30:11 INFO  Client:44 - Client Marlin Stay in queue
2016-12-25 15:30:11 INFO  Client:44 - Client Marlin Stay in queue
2016-12-25 15:30:11 INFO  Client:31 - Client Marlin made pre order.
2016-12-25 15:30:11 INFO  CashDesk:31 - Client Marlin is served
2016-12-25 15:30:12 INFO  Client:27 - Client Fuhrer visit the Restaurant.
2016-12-25 15:30:12 INFO  Client:68 - Client Fuhrer had chosen CashDesk#3
2016-12-25 15:30:12 INFO  Client:31 - Client Fuhrer made pre order.
2016-12-25 15:30:12 INFO  CashDesk:31 - Client Fuhrer is served
2016-12-25 15:30:15 INFO  TxtFileReader:20 - File src/main/resources/data.txt successfully read.
2016-12-25 15:30:15 INFO  Client:27 - Client Dimasik^^ visit the Restaurant.
2016-12-25 15:30:15 INFO  Client:27 - Client Fuhrer visit the Restaurant.
2016-12-25 15:30:15 INFO  Client:27 - Client David visit the Restaurant.
2016-12-25 15:30:15 INFO  Client:68 - Client Dimasik^^ had chosen CashDesk#1
2016-12-25 15:30:15 INFO  Client:31 - Client Dimasik^^ made pre order.
2016-12-25 15:30:15 INFO  Client:68 - Client Fuhrer had chosen CashDesk#1
2016-12-25 15:30:15 INFO  Client:31 - Client Fuhrer made pre order.
2016-12-25 15:30:15 INFO  Client:68 - Client David had chosen CashDesk#2
2016-12-25 15:30:15 INFO  Client:44 - Client David Stay in queue
2016-12-25 15:30:15 INFO  Client:44 - Client David Stay in queue
2016-12-25 15:30:15 INFO  CashDesk:31 - Client Dimasik^^ is served
2016-12-25 15:30:15 INFO  Client:44 - Client David Stay in queue
2016-12-25 15:30:15 INFO  CashDesk:31 - Client Fuhrer is served
2016-12-25 15:30:15 INFO  Client:44 - Client David Stay in queue
2016-12-25 15:30:15 INFO  Client:31 - Client David made pre order.
2016-12-25 15:30:15 INFO  CashDesk:31 - Client David is served
2016-12-25 15:30:15 INFO  Client:27 - Client Marlin visit the Restaurant.
